Peak load,Operating reverse,Taipei,Taichung,Kaohsiung,day
28470,4650,23,23.8,24.7,5
25752,3179,20.8,21.8,24.9,6
24604,2809,15.5,18.8,22.6,7
27614,3328,17.1,18.3,21.5,1
27884,3563,20.6,20.2,22.6,2
28182,3497,21.4,22.3,23.9,3
28528,3144,23.6,22.5,24.4,4
28990,3609,24.2,23.4,25.8,5
26657,3489,25.1,25.7,27.4,6
26518,3028,25.7,26.8,27.8,7
29986,4091,24.1,26.9,27,1
29986,4376,23,24.7,27.2,2
28595,4031,19.4,22.3,26.1,3
28050,3948,17.9,20.2,25.2,4
27678,3948,16.8,18.4,23.7,5
25659,3166,20.2,22.2,25.1,6
25110,3120,21,23.3,27,7
28706,3810,22.3,23.7,26.7,1
28955,4687,24,24.8,26.9,2
29532,3346,25.9,25.1,26.7,3
29613,4864,26.7,25.9,27.4,4
26786,3512,27.1,27,28.2,5
26473,3414,27.6,27.8,28.6,6
26815,2967,28.4,28.2,28.2,7
32340,3476,29.8,28.7,28.6,1
33321,3400,29.4,29.1,28.5,2
32964,3426,27,29.5,29.3,3
32510,3736,25.7,29.3,29.8,4
33791,3414,28.4,29.6,29.7,5
29700,3823,30.5,29.9,29.5,6
29424,3015,29.4,29.6,29.7,7
33203,3350,25.6,28.9,29.9,1
31973,3766,23.4,26.5,29,2
32264,4199,26.2,28.3,28.4,3
33442,3382,28.6,28.5,28.9,4
33787,3622,29.2,29.1,30.3,5
30028,3947,27.3,27.6,30.9,6
28694,4241,28.6,28,29.6,7
32803,4085,26.4,26.4,29.5,1
31336,4626,23.8,23.8,26.8,2
31507,4951,24.8,25.9,26.3,3
31571,3983,25.2,25.2,25.9,4
30892,3675,24.2,24.4,26.5,5
26898,4061,23.9,25.2,27,6
26905,4289,26.1,27.7,27.8,7
32438,3942,27.1,28.4,28.6,1
32896,3563,28.5,26.5,28.6,2
31444,4932,24.5,25.1,26.2,3
31519,5261,23.1,25.6,28.4,4
32544,4098,26.1,26.4,28.5,5
28513,4186,28.6,27.9,29.4,6
28776,3430,29.5,28.8,30,7
33660,3633,29.2,29.4,29.9,1
34381,4071,29.1,29.2,30.2,2
34490,4163,30.6,29.5,30.1,3
34935,3754,31,29.7,30.4,4
34861,3682,31.1,29.9,30.1,5
30752,4240,30.9,29.1,29,6
28121,4535,27.2,27.6,28.9,7
32361,4580,26.7,25.2,27.9,1
32360,4515,27.6,25.3,28.9,2
33770,4367,30,27.6,30.1,3
34220,3986,29.8,28.9,30.4,4
35010,3586,30.8,29.5,31.6,5
31552,3764,30.7,29.7,31.5,6
29821,4572,28.9,27.8,30.3,7
35096,5033,30.3,28.6,30.5,1
35674,4022,31.5,29.2,30.5,2
36160,3975,32,29.4,30.5,3
35964,4191,32.3,29.6,30.6,4
36340,3862,32.2,29.8,30.7,5
35313,3675,32.2,29.9,30.9,6
31624,3484,31.9,29.3,30.6,7
36627,3849,32.1,29.8,31,1
36847,3768,32.6,30.3,31.1,2
37170,4086,31.8,30,31.1,3
